release,country,date_year,date_month,date_day
161195,57,1999,,
439759,221,1997,,
640088,194,2009,6,
703604,202,1995,1,
313356,57,2006,11,
370912,81,2001,,
1254911,222,2013,1,22
260629,170,2005,3,
1200316,202,2012,6,8
162,222,2001,7,10
98008,222,2001,4,24
463786,81,2000,,
512299,222,1968,,
586791,222,2008,,
77259,222,1996,10,22
823526,222,1998,,
166628,81,2003,1,20
1285054,240,2013,4,1
1318921,222,1998,,
823517,222,1994,7,
576611,113,2006,10,13
483428,73,1994,,
715563,221,1999,,
820157,81,2007,9,14
320679,222,1976,,
373542,241,2003,,
1115010,176,2011,12,1
380756,202,1998,,
327888,222,1995,,
742104,81,1992,,
77870,221,2003,12,
1206329,240,2006,9,10
1320388,73,2009,,
1119049,84,2009,3,
415670,81,2006,9,1
1297227,240,2013,6,4
269763,222,2005,9,13
632380,104,1990,,
811003,221,2010,12,13
312224,105,2006,,
326695,222,1995,6,6
221484,222,2003,7,29
576610,113,2006,10,13
683929,73,1991,,
755916,219,2006,12,5
